slang,formal
kenak,kena
jg,juga
ma,sama
kkan,akan
preng,prank
sesek,sesak
bun,bunda
kah,apakah
dospem,dosen pembimbing
wkwk,tertawa
kin,akan
diingetinget,ingat
akowaowakowk ,tertawa
dikit,sedikit
akowaowakowk,tertawa
gencana,baik
kayak,seperti
pedesz,pedas
garap,mengerjakan
enggak,tidak
someone,seseorang
wkkwkwkwkw ,tertawa
garap,mengerjakan
ribet,rumit
kaya ,seperti
jektas,baru saja
ws,sudah
sek,sebentar
aju,aku
dino,hari
iki,ini
kabeh,semua
mrasa,merasa
koyoke,sepertinya
someone,seseorang
crita,cerita
kelar,selesai
mls,malas
mangan,makan
turu,tidur
mnggunakan ,menggunakan
nhakak,tertawa
sirkel,kelompok
konco,teman
gilakk,gila
ket,dari
mang,tadi
ggra,gara-gara
ono,ada
ambe,sama
nguakak,tertawa
amonali,anomali
gamawu,tidak mau
pol,sangat
gada,tidak ada
mbalik,balik
mesti,selalu
timeline,garis waktu
seloso,selasa
mek,hanya
kuwesel,cape
kwkwkwkwkwkwkwkwkkw,tertawa
tuku,beli
nde,di
endi,mana
sg,yang
luwe,lapar
ancen,memang
ditakdirno,ditakdirkan
twt,tweet
wkwkwk,tertawa
napak,pijak
gadue,tidak punya
mlaku,jalan
wkkwkw,tertawa
adus,mandi
sek,masih
ku,saya
gausah,tidak perlu
mangkanya,maka dari itu
berengan,barengan
plis,tolong
nder,teman
kayaknya,sepertinya
gamauu,tidak mau
wkwkw,tertawa
kwkwwk,tertawa
diliatin,dilihat
ngitung,menghitung
ojo,jangan
dibandingke,dibandingkan
siapp,siap
darimanaa,dari mana
gwe,saya
gakuat,tidak kuat
sda,sidoarjo
golek,cari
opo,apa
yah mene,sekarang
bendino,setiap hari
kerasa,terasa
matiin,matikan
datengin,datang
responny,responnya
ngobroll,ngobrol
gaguna,tidak berguna
curangjoki,curang joki
bingungoh,bingung
gatau,tidak tahu
diinstagramnya,di instagram
sepurane,maaf
njupuk ,ambil
gaono,tidak ada
seng,yang
ngakoni,mengakui
ndue,punya
lek,kalau
lali,lupa
mbalekne,kembalikan
smpek,sampai
plss,tolong
pancet,tetap
akeh,banyak
saiki,sekarang
wes,sudah
soro,susah
disusahno,dipersusah
opoan,apaan
kaga,tidak
gabisa,tidak bisa
kek,seperti
wahaha,tertawa
ngakuin,mengakui
kesalahanmungkin,kesalahan mungkin
jdiin,jadiin
mnurutku,menurut saya
engga,tidak
adbis,administrasi bisnis
dianterjemput,di antar jemput
ditawarin,di tawarin
ngehargain,menghargai
cerpen,cerita pendek
gwl,saya
masio,walaupun
podo,sama
dipelajarin,dipelajari
kupengen,saya inginkan
yay,iya
duit,uang
kamunya,kamu
nggaa,tidak
gapapa,tidak apa-apa
ntar,sebentar
mwehehe,tertawa
dulunya,dahulu
anget,hangat
makasiilt,terima kasih
pagii,pagi
gemoy,lucu
wkwkwkkwkw,tertawa
keujanan,kehujanan
sudha,sudah
gede,besar
masih,maish
wkowkwow,tertawa
makanannya,makanan nya
bareng,bersama
kwkwk,tertawa
sad,sedih
ayangg,sayang
gau,saya
enyakk,enak
ngapa,kenapa
gua,saya
wkeke,tertawa
kuatkuatin,kuat
yy,iya
naro,menaruh
sada,sadar
ngapain,mengapa
lipet,lipat
nora,norak
ahahahaha,tertawa
pernahh,pernah
gamasuk,tidak masuk
kepo,ingin tahu
punten,permisi
ditakok,di tanya
ben,setiap
ganok,tidak ada
kabare,kabarnya
ngntuk,ingin tidur
gasempet,tidak sempat
dibegitukan,begitu
kocakk,kocak
nglunasi,melunasi
tross,terus
dpan,depan
ngejain,mengerjakan
ksukaan,kesukaan
molor,telat
gajawab,tidak jawab
ngrasa,merasa
ngab,bang
bocil,bocah kecil
ngurua,mengurusi
helpp,tolong
ngalamin,mengalami
ancene,memang
utekke,otak nya
kanggo,terpakai
tok,saja
ngertine,tahu nya
bagushh,bagus
hahaha,tertawa
takutnyo,takut
apik,bagus
bnrann,benaran
nangisan,menangis
akulo,saya
gmnaa,bagaimana
alurnyaa,alur
kubacaa,saya baca
gx,tidak
slh,salah
pengabdiann,pengabdian
pelizz,tolong
inpo,informasi
pelis,tolong
maish,masih
